Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;Kills;Deaths;Assists;KP%;Damage/Min;topLanePresence;midLanePresence;botLanePresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
2024-01-02;League of Legends Scrims;scrim| aeg g3;2615697;14.1.547.8890;1;AEG Ryuzaki;119;-442;6;2;3;0.75;360.9016134364255;0.0;0.08182912154031288;0.049338146811071;0.18050541516245489;0.21179302045728038;0.0;0.0;0.10589651022864019;0.021660649819494584
2024-01-02;League of Legends Scrims;scrim| aeg g4;2615704;14.1.547.8890;1;AEG Ryuzaki;-197;341;1;2;4;0.5555555555555556;139.0277681120504;0.03132530120481928;0.021686746987951807;0.1108433734939759;0.1783132530120482;0.1855421686746988;0.10722891566265061;0.01325301204819277;0.020481927710843374;0.033734939759036145
2024-01-02;League of Legends Scrims;scrim| aeg g4;2615704;14.1.547.8890;1;SUP SKEANZ;197;-341;3;1;3;0.6;307.6910018684792;0.03132530120481928;0.01325301204819277;0.12409638554216867;0.1216867469879518;0.28072289156626506;0.0;0.12771084337349398;0.08072289156626505;0.03253012048192771
2024-01-03;League of Legends Scrims;scrim| eiq game 1 rmk;2616045;14.1.547.8890;1;ANO SPOOKY;357;419;1;0;1;1.0;87.72329536319499;0.0;0.02289156626506024;0.05542168674698795;0.1855421686746988;0.26385542168674697;0.0746987951807229;0.05060240963855422;0.07228915662650602;0.09036144578313253
2024-01-03;League of Legends Scrims;scrim| eiq game 1 rmk;2616045;14.1.547.8890;1;AEG Ryuzaki;-357;-419;1;0;1;0.5;161.96742192014017;0.0;0.0855421686746988;0.01927710843373494;0.2457831325301205;0.2433734939759036;0.0;0.03253012048192771;0.12771084337349398;0.016867469879518072
2024-01-03;League of Legends Scrims;scrim| eiq game 2;2616074;14.1.547.8890;1;AEG Ryuzaki;391;743;2;1;0;0.6666666666666666;146.91827169334195;0.0;0.03614457831325301;0.01325301204819277;0.10843373493975904;0.23012048192771084;0.0024096385542168677;0.0963855421686747;0.16265060240963855;0.03975903614457831
2024-01-03;League of Legends Scrims;scrim| eiq game 2;2616074;14.1.547.8890;1;ANO SPOOKY;-391;-743;0;0;1;1.0;108.6318856712288;0.0;0.027710843373493974;0.006024096385542169;0.18313253012048192;0.3132530120481928;0.07349397590361446;0.04096385542168675;0.04216867469879518;0.06867469879518072
2024-01-03;League of Legends Scrims;scrim| eiq game 3;2616108;14.1.547.8890;1;ANO SPOOKY;-927;-1660;0;1;1;0.5;141.19179598320466;0.027710843373493974;0.027710843373493974;0.05421686746987952;0.13734939759036144;0.3566265060240964;0.0;0.05421686746987952;0.10963855421686747;0.04216867469879518
2024-01-03;League of Legends Scrims;scrim| eiq game 3;2616108;14.1.547.8890;1;AEG Ryuzaki;927;1660;4;0;2;0.6666666666666666;201.37376283153762;0.04939759036144578;0.004819277108433735;0.05301204819277108;0.19518072289156627;0.20481927710843373;0.08313253012048193;0.0;0.043373493975903614;0.04096385542168675
2024-01-03;League of Legends Scrims;scrim| eiq game 4;2616136;14.1.547.8890;1;AEG Ryuzaki;519;1948;6;2;6;0.6666666666666666;461.3984277323595;0.043373493975903614;0.03614457831325301;0.14337349397590363;0.15542168674698795;0.1927710843373494;0.0;0.03614457831325301;0.05783132530120482;0.04216867469879518
2024-01-03;League of Legends Scrims;scrim| eiq game 4;2616136;14.1.547.8890;1;ANO SPOOKY;-519;-1948;0;3;5;0.625;245.12217787982402;0.01927710843373494;0.014457831325301205;0.11686746987951807;0.19759036144578312;0.1602409638554217;0.0024096385542168677;0.07951807228915662;0.08072289156626505;0.04457831325301205
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game1;2616371;14.1.553.2414;1;DRX Sponge;744;932;2;0;0;0.5;201.6053496767078;0.0;0.06506024096385542;0.010843373493975903;0.12048192771084337;0.1578313253012048;0.11204819277108434;0.07349397590361446;0.0746987951807229;0.0783132530120482
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game1;2616371;14.1.553.2414;1;NS Sylvie;-744;-932;1;1;0;1.0;96.5650649872345;0.0;0.0;0.027710843373493974;0.16987951807228915;0.3325301204819277;0.0;0.04939759036144578;0.07951807228915662;0.006024096385542169
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game2;2616371;14.1.553.2414;2;DRX Sponge;-201;-475;0;1;2;1.0;180.22354304275584;0.0;0.04693140794223827;0.026474127557160047;0.20577617328519857;0.2394705174488568;0.010830324909747292;0.08062575210589651;0.13357400722021662;0.02888086642599278
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239849|game2;2616371;14.1.553.2414;2;NS Sylvie;201;475;1;1;0;1.0;167.23462501801822;0.012033694344163659;0.024067388688327317;0.010830324909747292;0.21179302045728038;0.26714801444043323;0.044524669073405534;0.01444043321299639;0.06859205776173286;0.08664259927797834
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game1;2616372;14.1.553.2414;1;GEN Canyon;-355;-559;0;0;1;1.0;62.37661425384501;0.0;0.0024096385542168677;0.014457831325301205;0.21204819277108433;0.3397590361445783;0.01325301204819277;0.01325301204819277;0.07590361445783132;0.05542168674698795
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game1;2616372;14.1.553.2414;1;T1 Oner;355;559;0;0;0;0.0;4.778638754688758;0.0;0.024096385542168676;0.010843373493975903;0.2469879518072289;0.2819277108433735;0.0;0.06746987951807229;0.10602409638554217;0.006024096385542169
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game2;2616372;14.1.553.2414;2;T1 Oner;-172;230;1;1;0;0.5;130.48328206719705;0.0;0.04216867469879518;0.0;0.26024096385542167;0.12650602409638553;0.13012048192771083;0.0012048192771084338;0.03734939759036145;0.07951807228915662
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game2;2616372;14.1.553.2414;2;GEN Canyon;172;-230;0;0;3;1.0;185.95002620698367;0.0;0.021686746987951807;0.0;0.22048192771084338;0.3192771084337349;0.0;0.0891566265060241;0.1144578313253012;0.0036144578313253013
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game3;2616372;14.1.553.2414;3;T1 Oner;643;-234;0;2;0;0;81.45934143506678;0.0;0.04096385542168675;0.0;0.29759036144578316;0.1566265060240964;0.10722891566265061;0.0;0.0;0.11686746987951807
2024-01-17;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239937|game3;2616372;14.1.553.2414;3;GEN Canyon;-643;234;2;0;2;0.6666666666666666;234.78845143884004;0.012048192771084338;0.01325301204819277;0.0;0.30120481927710846;0.1686746987951807;0.02650602409638554;0.09156626506024096;0.06385542168674699;0.09036144578313253
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239857|game1;2616373;14.1.553.2414;1;BRO GIDEON;516;289;0;0;1;0.5;39.220273688754176;0.0;0.016867469879518072;0.024096385542168676;0.29397590361445786;0.26265060240963856;0.0;0.0;0.07590361445783132;0.03253012048192771
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239857|game1;2616373;14.1.553.2414;1;DK Lucid;-516;-289;0;0;0;0.0;61.205014387663454;0.0;0.01927710843373494;0.0;0.27590361445783135;0.2819277108433735;0.046987951807228916;0.04939759036144578;0.03975903614457831;0.056626506024096385
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239857|game2;2616373;14.1.553.2414;2;BRO GIDEON;281;689;2;0;3;1.0;149.85014727017335;0.0012048192771084338;0.01566265060240964;0.0036144578313253013;0.1891566265060241;0.26626506024096386;0.05301204819277108;0.024096385542168676;0.12771084337349398;0.05301204819277108
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239857|game2;2616373;14.1.553.2414;2;DK Lucid;-281;-689;0;1;2;0.6666666666666666;77.30072110343363;0.0024096385542168677;0.01927710843373494;0.02289156626506024;0.29156626506024097;0.25542168674698795;0.0;0.030120481927710843;0.08313253012048193;0.04096385542168675
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305501|game1;2616374;14.1.553.2414;1;KT Pyosik;-205;298;1;1;1;0.5;205.03497563376638;0.024096385542168676;0.05301204819277108;0.01325301204819277;0.27349397590361446;0.21686746987951808;0.02289156626506024;0.02650602409638554;0.03734939759036145;0.05301204819277108
2024-01-18;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305501|game1;2616374;14.1.553.2414;1;FOX Willer;205;-298;1;0;3;0.5714285714285714;280.1935617660044;0.0024096385542168677;0.06144578313253012;0.0012048192771084338;0.28433734939759037;0.2289156626506024;0.0012048192771084338;0.02891566265060241;0.12048192771084337;0.05783132530120482
